read_idx,type,end_pos
22120,1,667
22186,2,686
22374,3,594
22505,3,866
22538,2,521
22750,1,519
22801,1,384
23015,1,480
23017,3,361
23018,3,821
23019,1,378
23020,3,389
23143,3,372
23144,3,653
23256,3,612
23457,3,799
23459,1,541
23632,3,389
23633,1,427
23634,1,557
23635,2,661
23637,1,560
23639,1,395
23642,3,505
23643,1,680
23645,3,387
23646,1,389
23650,3,367
23922,3,461
24185,1,653
24186,1,647
24187,1,665
24188,3,596
24192,1,673
24453,3,474
24458,1,532
24704,2,530
24706,1,618
24975,3,403
24977,3,679
25455,3,571
25458,1,400
25746,1,478
25747,1,593
25757,2,646
25763,1,352
25765,1,378
25978,1,369
26167,1,458
26169,2,556
26172,1,389
26174,3,946
26181,2,394
26186,2,365
26710,1,398
26711,2,382
26715,1,384
26975,2,505
27106,2,518
27172,1,399
27354,2,519
27477,3,455
27635,1,521
27638,3,934
27892,3,444
27893,1,478
27970,1,402
28144,2,684
28195,3,823
28271,3,414
28343,3,824
28410,3,539
28411,1,367
28470,1,415
28696,2,654
28743,1,684
28975,2,427
29051,3,302
29119,3,816
29176,3,668
29240,3,430
29349,2,647
29613,3,647
29657,1,803
29923,2,571
29926,3,946
30069,3,589
30207,3,644
30340,3,937
30482,3,458
30740,3,455
30848,1,457
30899,3,938
30900,2,659
30902,2,458
31127,1,618
31269,1,619
31270,3,871
31566,3,493
31646,3,829
31705,1,362
31784,1,531
31874,3,822
31908,3,504
32111,3,819
32112,3,800
32220,3,519
32366,3,824
32473,2,823
32474,3,946
32475,2,541
32955,3,517
32957,1,548
32958,1,517
32959,3,504
32960,3,609
33215,3,807
33336,1,535
33502,1,534
33504,3,806
33509,3,528
33510,3,648
33511,1,653
33512,1,492
33666,1,520
33817,1,695
33820,3,519
34130,3,523
34131,1,646
34136,3,505
34357,2,644
34535,3,536
34732,3,566
34733,3,517
34734,1,495
34735,3,457
34740,3,515
35075,3,527
35077,3,524
35078,3,821
35079,1,636
35082,2,637
35090,2,545
35091,2,368
35104,3,654
35665,3,524
35667,3,868
35952,1,647
36184,1,257
36270,3,815
36271,1,516
36273,1,612
36459,3,646
36658,2,651
36659,3,576
36661,3,533
36907,3,535
36909,3,664
36996,1,536
36997,1,656
37037,1,387
37142,1,745
37143,3,538
37329,1,539
37766,3,574
38046,3,646
38050,3,728
38258,1,543
38263,3,538
38264,1,672
38489,1,553
38518,1,580
38573,3,701
38639,1,627
38793,2,652
38794,2,589
39002,2,652
39409,1,678
39410,3,817
39420,2,576
39725,3,661
39805,3,664
39810,2,679
39893,3,646
39948,1,644
39949,1,569
39950,3,816
39955,1,585
40160,3,946
40161,3,828
40163,3,770
40391,1,579
40461,3,665
40462,3,803
40533,1,761
40813,2,678
40815,3,652
41110,3,946
41185,1,593
41396,3,823
41531,3,815
41532,3,823
41533,1,652
41739,3,611
42299,3,646
42301,2,503
42303,3,614
42534,1,612
42893,3,822
42895,2,699
42896,2,649
43022,3,601
43023,1,665
43024,3,946
43028,1,649
43278,3,636
43280,1,653
43550,1,655
43671,1,826
43742,3,640
43772,3,802
43792,3,641
43861,3,635
43953,1,636
44161,2,830
44164,3,651
44244,3,829
44316,3,650
44401,3,534
44573,3,861
44710,3,828
44813,3,829
45120,2,642
45121,2,829
45122,1,675
45256,3,662
45327,1,829
45432,1,666
45700,1,671
45701,3,709
45810,2,753
45983,1,681
45984,3,829
46108,3,683
46109,1,685
46110,3,682
46111,3,817
46112,2,680
46228,3,820
46233,2,673
46616,1,873
46617,1,803
46623,1,850
46624,2,852
46627,1,709
47386,1,819
47387,1,655
47388,3,879
47389,1,697
47390,3,691
47751,2,659
47752,1,761
47863,2,824
47870,3,691
48113,1,853
48298,1,710
48676,2,865
48677,2,828
48678,1,707
48679,1,693
48680,1,844
48682,1,828
48684,2,710
48686,1,822
48687,1,639
48961,2,820
48962,1,829
48963,3,678
48964,1,695
48969,3,824
49535,1,732
49536,2,805
49627,1,677
49662,1,764
49768,2,765
49915,3,723
50017,3,833
50235,3,772
50274,1,773
50459,1,744
50461,3,746
50462,3,852
50726,3,754
50727,2,804
50729,1,873
50732,1,773
50733,3,762
50828,2,735
50912,1,772
51498,2,790
51552,3,846
52365,3,644
12,3,482
221,2,580
224,3,551
230,2,464
1279,3,16
1280,3,320
1281,1,398
1282,1,7
1283,1,484
1284,3,7
1285,3,484
1286,2,321
1288,3,705
1289,1,7
1290,1,499
1295,3,7
1296,1,498
1297,3,946
1298,1,322
1300,3,369
1301,1,118
1302,3,80
1306,1,7
1307,2,546
1310,3,519
1314,3,666
1343,3,791
2905,2,486
3291,1,464
3292,3,480
3293,3,480
3294,1,58
3295,3,828
3303,3,12
3314,2,483
4020,2,8
4021,1,90
4022,3,8
4283,1,12
4286,3,487
4648,1,100
4650,2,355
4971,2,763
4972,1,484
4973,2,455
5253,1,562
5254,3,825
5255,3,827
5256,3,527
5262,1,11
5507,3,480
5599,3,285
5720,2,479
5840,2,786
5942,2,730
5944,3,26
5945,3,481
6161,3,821
6247,1,481
6302,1,108
6378,2,474
6730,3,485
6731,2,30
6733,3,821
6861,3,23
6957,3,861
7038,3,284
7346,3,816
7428,3,828
7474,1,478
7475,1,547
7577,1,19
7739,1,43
8155,1,764
8156,2,484
8158,1,558
8239,1,302
8472,2,519
8473,2,545
8592,2,259
8593,1,20
8827,3,42
8828,1,235
8829,2,463
8936,1,666
9102,3,185
9159,3,62
9382,2,822
9412,1,546
9445,1,363
9495,1,280
9506,1,70
10034,1,354
10036,3,68
10037,1,385
10222,3,537
10493,2,220
10494,3,805
10574,3,626
10691,1,517
10797,2,485
10798,2,484
10900,1,550
11034,3,825
11269,1,103
11270,1,517
11336,3,100
11457,2,467
11458,1,100
11679,2,130
11743,3,342
11828,3,480
11865,3,860
11935,1,519
12072,1,114
12073,3,828
12149,1,517
12226,3,572
12269,2,616
12279,1,119
12309,1,117
12507,3,829
12509,3,613
12744,1,506
12814,3,829
12834,1,512
12970,3,821
13164,2,574
13451,1,536
13991,1,160
13992,1,179
14268,3,562
14368,1,80
14428,2,589
14617,2,531
14690,2,497
14693,1,517
14810,3,532
14927,3,481
15091,1,241
15109,3,823
15133,2,567
15255,3,806
15302,1,480
15336,3,829
15779,2,478
16089,2,488
16090,1,362
16218,1,233
16219,1,200
16420,2,231
16513,1,517
16761,3,240
16928,1,817
17075,3,943
17450,2,519
17451,3,946
17618,1,348
17619,1,233
17620,2,653
17623,1,517
17745,1,257
17895,2,517
17987,3,823
18125,3,517
18126,3,856
18129,3,576
18559,2,456
18674,3,583
18826,3,286
18920,1,275
19014,2,484
19017,1,563
19499,1,346
19845,1,349
19846,1,637
19918,3,842
20172,3,515
20202,3,645
20507,1,331
20613,3,613
20956,1,516
21058,1,383
21059,1,524
21169,3,817
21269,2,652
21304,2,666
21501,3,348
21682,3,614
21683,1,314
21815,2,680
21938,3,429
21965,3,519
22014,3,369
22119,2,552
22263,3,481
22265,3,536
22321,1,351
22366,2,383
22469,1,590
22504,2,389
22536,3,554
22652,1,326
22684,3,264
22685,2,656
23137,1,397
23252,2,513
23353,1,657
23354,1,768
23359,1,390
23622,3,375
23624,2,495
23912,3,822
23913,2,629
23914,1,378
23915,3,665
23916,2,668
24176,1,529
24178,1,819
24444,2,640
24689,1,543
24690,1,357
24691,2,647
25238,2,480
25239,3,383
25440,1,386
25441,1,616
25445,1,383
25735,3,667
25736,3,613
25973,2,250
26134,2,574
26135,2,622
26136,3,524
26138,3,819
26139,3,482
26140,1,522
26145,3,701
26160,1,396
26693,1,516
26695,3,817
26697,1,385
26698,1,397
26966,1,663
26967,3,820
26968,1,251
26969,3,647
27161,3,518
27618,3,821
27619,2,699
27889,1,650
27890,1,354
27964,3,678
28487,3,515
28694,1,395
28695,3,946
28751,1,509
28753,3,484
29025,1,434
29501,2,680
29644,2,546
29917,3,437
29920,1,725
30205,1,492
30328,1,646
30329,1,709
30476,2,295
30675,1,698
30737,3,653
30894,2,516
31116,2,650
31182,3,550
31337,2,726
31339,1,548
31342,3,811
31430,2,647
31431,3,530
31520,3,501
31564,3,495
31617,1,790
31643,3,844
31703,3,647
31704,3,803
31778,3,728
31780,1,502
31906,1,647
32010,3,570
32050,1,588
32209,3,531
32210,2,689
32213,1,530
32464,3,535
32465,2,823
32629,3,828
32767,2,529
33212,1,650
33325,1,650
33327,3,440
33495,2,443
33664,3,506
33665,3,770
33799,2,530
33801,1,487
33803,3,817
33804,3,806
33810,1,489
34122,2,651
34275,1,656
34518,2,656
34520,3,757
34522,3,488
34727,2,524
34731,2,651
35046,1,804
35048,3,665
35049,1,664
35050,1,531
35051,2,642
35053,3,730
35056,2,535
35057,1,684
35058,3,656
35062,2,649
35066,3,803
35647,3,932
35649,3,946
36094,3,675
36095,3,822
36183,3,529
36265,2,509
36453,2,565
36454,1,829
36456,2,590
36766,3,513
36768,3,652
36770,2,593
36882,2,647
37063,2,655
37139,2,575
37140,2,818
37242,2,553
37430,1,543
37585,2,646
37758,2,591
38039,2,654
38041,3,803
38146,2,647
38250,3,945
38251,2,664
38252,1,660
38408,1,654
38553,3,512
38634,3,574
38782,3,818
38783,3,764
38986,1,823
38987,1,574
38989,2,805
38990,1,673
38991,1,577
38992,1,678
39397,2,824
39398,1,663
39400,1,647
39402,3,829
39559,3,816
39560,1,272
39722,1,534
40155,3,895
40156,2,569
40387,3,680
40673,3,656
40738,2,809
40902,3,669
41043,1,764
41045,1,665
41244,1,644
41322,3,678
41394,2,851
41524,2,606
41525,2,820
41941,3,611
41942,1,817
41946,3,829
42290,3,610
42294,2,614
42525,1,611
42526,1,820
42527,1,708
42528,2,823
42530,1,729
42653,2,819
42777,3,819
43011,1,623
43012,2,435
43014,3,624
43181,3,844
43182,1,642
43475,1,670
43547,1,635
43666,3,710
43668,3,639
43669,3,804
43739,3,857
43741,2,821
44087,3,679
44116,3,652
44117,1,828
44156,2,686
44242,2,657
44400,3,655
44569,1,659
44645,1,805
44799,2,839
44800,3,829
44801,2,671
44802,1,709
44803,1,658
45385,3,835
45448,2,824
45449,2,807
45503,3,705
45593,3,669
45898,1,705
45951,3,678
46101,2,716
46102,1,819
46195,2,819
46327,2,839
46333,2,828
46370,2,808
46592,1,823
46593,3,699
46594,3,825
46595,2,825
46596,2,691
46597,2,850
46598,3,691
46601,1,844
46604,1,695
46606,3,855
46607,2,820
46612,1,761
47014,2,834
47131,3,697
47366,3,674
47367,2,829
47368,1,695
47369,1,688
47748,1,675
47749,1,699
47846,1,814
47847,1,845
47848,3,820
47849,2,828
47851,1,748
47853,3,698
48282,2,850
48283,1,723
48284,3,804
48665,1,822
48666,3,860
48667,3,709
48669,1,699
48674,2,706
48949,3,820
48950,3,765
49209,2,709
49211,3,761
49410,2,822
49606,3,715
49780,2,849
49960,3,937
50078,3,862
50087,3,710
50123,1,743
50125,2,753
50300,3,865
50301,1,745
50453,2,816
50908,3,736
51078,2,817
51368,1,770
36,1,227
300,2,508
302,1,6
304,1,639
305,2,202
307,2,454
312,1,1
314,1,518
319,3,17
1515,2,675
1522,3,14
1526,3,366
1528,3,562
1529,3,398
1537,1,7
1540,2,484
1541,1,355
1542,1,8
1543,2,7
1544,1,369
1545,3,519
1546,1,457
1549,1,484
1550,3,572
1551,2,755
1552,3,930
1556,1,484
1559,1,11
1560,3,590
1561,1,531
1565,3,946
1567,1,484
1569,3,7
1572,2,484
1574,1,7
1577,1,8
2930,3,590
3070,1,11
3394,2,479
3395,3,946
3402,3,8
3404,3,7
3411,1,482
4038,3,7
4039,1,249
4040,1,398
4043,3,92
4324,2,817
4325,2,521
4326,1,16
4697,1,782
5000,3,484
5001,3,701
5002,3,101
5003,1,24
5005,1,8
5297,3,547
5851,3,483
5960,2,457
5962,3,10
5963,2,330
5964,2,825
6093,1,519
6094,2,543
6309,2,363
6439,3,366
6556,3,571
6661,2,484
6750,1,355
6752,3,344
6871,1,24
6872,1,11
6964,3,17
7139,3,601
7186,3,807
7590,1,520
7769,2,461
7986,3,7
7987,2,826
8248,3,580
8249,1,25
8848,1,7
8849,3,856
8941,3,478
9019,1,59
9276,3,63
9278,1,130
9416,3,69
9417,3,808
9604,1,203
9738,1,482
9904,2,653
10059,1,565
10060,3,91
10061,1,165
10062,1,103
10327,3,83
10328,1,458
10329,3,805
10503,1,527
10504,1,86
10700,2,504
10914,1,429
10915,1,630
10917,3,802
10984,3,479
11044,3,699
11101,3,198
11277,2,101
11417,3,823
11468,2,515
11548,2,591
11622,2,680
11623,2,558
11624,1,679
11757,3,108
11870,3,141
11940,2,708
12230,2,413
12231,1,136
12314,1,504
12316,1,146
12514,2,666
12680,3,489
12698,1,326
12839,3,166
13067,1,568
13068,1,154
13232,1,129
13237,3,518
13286,1,476
13463,2,513
13539,2,484
13651,1,519
13715,3,661
14001,3,580
14186,2,367
14187,1,516
14231,3,654
14232,2,567
14314,3,291
14343,1,180
14634,3,440
14821,3,233
14883,1,524
14937,1,484
14939,2,654
15013,1,657
15034,2,515
15599,1,524
15601,3,131
15606,1,215
15720,3,530
15905,1,198
15987,3,519
15988,3,208
16026,2,498
16517,2,530
16518,1,517
16519,2,517
16570,1,323
16694,3,482
16850,1,245
16910,1,247
16977,2,572
17083,3,272
17156,1,519
17245,3,809
17463,1,257
17464,1,220
17465,3,934
17636,1,256
17637,2,655
17638,1,256
17811,3,316
17864,1,631
18142,1,436
18143,2,584
18335,2,317
18377,3,519
18452,3,511
18500,2,574
18554,2,793
18896,3,844
18921,1,677
18954,1,531
18955,3,382
19136,1,293
19363,1,518
19547,1,346
19730,1,651
19813,1,487
19855,2,651
20208,3,656
20209,2,591
20308,2,676
20396,2,468
20471,3,325
20514,1,331
20569,1,300
20624,1,481
20841,2,654
20911,1,652
20960,1,657
21071,3,341
21073,1,530
21179,2,548
21181,3,388
21324,1,582
21325,1,447
21586,2,496
21633,3,201
21754,1,521
21968,1,660
22020,2,573
22021,1,677
22507,2,590
22688,3,820
22894,3,826
23024,1,388
23152,1,574
23155,3,386
23261,1,359
23664,3,620
23665,1,770
23933,1,535
24199,2,461
24200,1,552
24203,1,682
24470,1,535
24472,3,385
24735,3,943
24737,3,816
24742,1,662
24980,1,402
25038,1,651
25106,3,323
25107,2,665
25255,1,498
25479,1,522
25483,3,842
25653,3,406
25773,2,657
25775,1,676
25776,2,353
26213,2,562
26215,3,661
26217,2,633
26219,2,395
26229,2,530
26232,3,817
26725,2,804
26729,1,379
26732,3,930
26986,3,809
26988,1,401
27190,1,632
27191,2,626
27359,1,527
27515,1,362
27657,1,503
27900,3,400
27901,1,517
28344,3,429
28563,3,406
28768,3,636
28769,3,926
28826,1,805
28950,3,396
29055,1,432
29056,3,612
29058,1,456
29194,3,591
29248,1,435
29359,2,567
29514,1,653
29933,1,647
30077,3,829
30164,2,647
30217,3,346
30218,2,536
30346,3,398
30347,3,721
30494,3,688
31128,1,579
31271,2,800
31350,1,494
31351,3,651
31571,1,663
31708,3,497
31791,1,721
31792,1,545
32005,3,706
32027,3,536
32060,1,532
32238,2,662
32240,2,810
32373,3,651
32489,1,706
32491,1,726
32971,3,647
32974,1,490
32975,1,515
33345,1,593
33519,3,663
33842,1,820
33844,1,807
33849,1,451
33850,1,809
33851,3,656
34138,1,519
34366,3,630
34368,1,517
34369,3,631
34539,1,666
34540,3,517
34542,1,647
34543,3,650
34545,1,522
34745,1,523
35118,3,523
35123,1,524
35124,2,685
35128,3,701
35130,1,519
35132,2,533
35134,1,640
35135,1,521
35689,1,530
35696,2,696
36286,2,483
36470,3,458
36786,3,461
36789,1,547
36790,2,651
36792,3,823
36916,2,829
36999,2,829
37207,3,536
37251,1,539
37253,2,670
37335,3,660
37336,2,822
37599,2,653
37604,1,773
37781,1,563
37783,2,647
37902,2,648
37951,1,657
37988,3,809
37989,1,631
38055,3,645
38060,1,817
38157,1,822
38271,1,538
38520,3,548
38651,1,554
39298,1,514
39563,1,562
39565,3,791
39665,1,544
39815,3,655
39958,3,770
39959,2,530
40074,3,570
40077,1,585
40395,1,589
40467,3,614
40538,3,803
40592,3,818
41114,3,804
41224,2,697
41255,3,601
41400,2,596
41401,2,823
41404,1,654
41537,1,614
41538,3,647
41540,2,614
41985,3,608
41987,3,687
41992,1,843
42456,2,619
42484,3,820
42906,3,622
43037,3,613
43219,3,822
43449,1,823
43452,3,692
43496,2,635
43604,1,825
43606,1,646
43677,3,634
44170,1,664
44362,1,535
44409,2,829
44410,2,655
44654,3,801
44656,1,672
44826,3,690
44828,1,658
44829,1,659
44832,2,659
44833,1,667
45135,1,660
45474,1,844
45514,1,705
45516,1,664
45517,3,675
45601,3,814
45825,2,735
45953,2,682
46056,2,681
46234,3,711
46235,3,675
46312,3,819
46653,1,715
46654,2,818
46655,3,808
47019,3,702
47060,3,945
47070,3,850
47145,1,676
47147,2,840
47412,2,824
47414,3,676
47415,3,820
47416,2,756
47418,3,700
47419,1,689
47420,1,820
47872,3,837
47873,1,855
47876,2,803
47878,3,934
47879,3,822
48167,1,705
48318,3,701
48319,3,850
48321,3,690
48324,1,731
48695,2,820
48697,3,838
48984,3,842
48986,1,684
48987,3,711
48989,2,822
49221,3,820
49222,1,769
49422,1,675
49501,2,682
49538,3,712
49699,1,710
49860,1,733
50144,1,743
50573,3,747
50743,3,865
51600,1,794
329,2,526
331,1,6
343,3,100
1603,3,790
1604,1,112
1605,1,355
1608,3,498
1609,3,101
1612,1,10
1619,3,7
1629,3,366
1641,3,887
1642,1,10
1644,1,7
1648,3,90
1649,1,519
1650,3,821
1651,1,21
1652,3,7
1654,1,7
1658,1,480
1666,3,822
1667,2,100
1668,3,8
1669,1,16
1674,1,8
1675,2,426
1676,1,7
2939,2,407
2940,1,763
2942,3,650
3073,2,820
3422,3,7
3424,1,590
3426,2,431
3427,3,452
3431,1,21
3433,3,822
3435,1,364
3436,3,787
3438,3,921
3442,1,355
3444,2,519
3450,2,552
4047,3,826
4148,3,106
4332,2,6
4333,3,314
4334,1,7
4705,3,946
4710,1,426
5012,1,324
5014,2,522
5182,1,12
5314,2,544
5517,3,340
5740,2,786
5971,2,763
5972,1,723
5976,3,653
5977,3,1
5978,3,14
6096,1,35
6097,3,452
6175,3,562
6260,3,519
6310,3,513
6311,2,647
6558,3,503
6559,2,511
6560,1,459
6755,3,357
6758,3,692
6966,3,808
6968,1,37
6969,3,457
7320,1,7
7447,1,23
7593,1,7
7772,3,49
7774,1,248
7989,3,946
8170,1,815
8253,2,627
8328,2,13
8491,1,415
8492,1,452
8734,3,428
8853,2,826
8945,2,101
9561,2,506
9606,2,465
9607,3,817
9657,1,345
9742,1,70
9743,2,396
9745,3,482
9907,1,313
9908,1,349
10071,3,822
10228,3,86
10332,1,190
10546,2,101
10704,2,519
10767,2,479
10844,2,767
10845,3,226
11193,1,95
11377,2,318
11529,1,100
11579,3,93
11683,2,656
11703,1,449
11758,3,801
11759,1,220
11761,3,553
11763,3,209
11873,3,672
12167,1,497
12232,3,519
12319,1,146
12515,1,530
12640,3,133
12757,2,139
12865,2,803
12913,3,518
12914,3,128
13073,3,829
13175,2,168
13545,3,453
13598,1,518
13653,3,803
13833,3,650
13881,1,154
14061,1,150
14234,3,518
14273,1,575
14576,1,447
14593,1,221
14635,1,522
14823,2,248
14943,3,199
15057,1,516
15147,3,479
15214,3,946
15261,2,461
15396,3,844
15610,3,205
15611,3,519
15790,1,481
15795,1,460
15796,2,598
15906,3,220
15908,1,193
15991,3,181
16476,2,566
16696,1,190
16804,2,524
17085,1,516
17086,3,817
17161,1,234
17247,3,241
17249,2,518
17252,3,308
17470,3,511
17643,3,183
17754,3,566
17839,1,549
17866,2,543
18005,3,820
18006,2,517
18010,1,568
18230,1,257
18378,2,657
18410,2,699
18596,3,526
18684,2,517
18958,3,384
19036,1,541
19139,1,548
19140,3,861
19211,1,291
19261,3,266
19266,2,530
19563,2,518
19814,3,517
19857,1,517
19858,1,440
19956,3,385
19995,1,515
20040,3,317
20099,2,356
20422,3,865
20459,3,328
20517,2,643
20519,1,676
20625,3,308
20718,1,532
20720,3,474
20766,1,313
20992,3,679
20993,1,340
21188,2,549
21189,3,344
21271,3,349
21329,1,341
21403,3,705
21442,3,514
21443,1,367
21444,2,566
21445,2,665
21512,3,675
21513,2,563
21514,2,563
21589,3,852
21591,1,605
21637,1,817
21830,2,681
21909,3,809
22064,2,351
22126,2,377
22390,3,649
22393,1,367
22508,1,798
22543,2,516
22544,1,521
22692,3,675
22844,3,551
23027,1,374
23267,2,589
23364,1,561
23678,2,624
23679,1,536
23680,1,484
23681,3,867
23682,2,511
23945,2,528
23950,1,350
23951,3,504
24105,1,281
24212,3,531
24479,1,547
24745,2,515
24747,1,574
24751,2,659
25110,3,542
25257,3,387
25788,2,605
26235,1,577
26239,1,395
26240,3,356
26242,3,515
26243,2,622
26247,1,398
26741,1,723
26998,1,368
26999,1,395
27000,1,659
27199,1,698
27427,2,617
27428,1,684
27478,3,403
27663,3,398
27980,1,402
28058,3,496
28564,2,572
28566,3,403
28659,3,478
28705,1,363
28706,3,946
28771,2,619
28830,1,383
28980,1,409
28981,1,480
28982,1,407
28984,1,670
29061,1,647
29123,3,516
29251,2,437
29361,3,829
29362,3,516
29364,3,818
29365,1,577
29442,3,425
29443,2,592
29516,1,803
29518,3,646
29661,1,439
29662,3,443
29716,1,520
29760,3,453
29820,3,653
29937,1,387
29940,3,387
30082,2,663
30225,2,522
30497,1,618
30501,2,643
30505,1,657
30748,2,698
30850,3,460
31012,3,801
31032,3,457
31214,1,486
31275,1,652
31357,2,800
31358,3,650
31437,2,664
31529,3,496
31572,3,555
31656,2,515
31914,2,566
31975,1,530
32079,1,504
32244,3,804
32245,3,818
32493,1,517
32494,1,530
32495,3,647
32979,3,651
32980,3,801
32981,3,647
32985,1,738
32986,1,644
32987,1,557
32988,2,503
33192,3,682
33223,3,578
33228,3,864
33350,1,646
33352,3,536
33853,1,502
33857,3,647
33862,3,946
33864,1,650
34283,3,506
34286,2,531
34371,3,559
34556,1,512
34753,3,934
34866,2,531
35146,3,482
35150,3,946
35158,3,808
35708,1,496
35978,3,516
35979,3,527
36292,2,670
36293,2,654
36295,1,737
36471,3,504
36474,3,829
36475,2,548
36797,1,535
36798,3,834
37341,3,544
37435,3,488
37605,1,561
37788,2,674
37904,3,799
38062,1,548
38063,2,819
38274,3,654
38276,3,829
38278,3,654
38281,3,485
38389,2,815
38421,3,574
38538,3,821
38555,3,818
38657,2,652
38659,3,818
38820,1,560
38822,3,667
39011,3,552
39177,2,563
39428,3,557
39566,2,819
39728,3,575
39897,1,654
40170,1,569
40171,1,540
40173,3,570
40174,3,547
40297,1,798
40397,3,833
40400,2,580
40470,3,575
40471,2,803
40472,1,614
40541,3,920
40542,3,684
40681,3,667
40979,1,581
41162,2,574
41329,3,606
41405,1,623
41406,1,601
41407,1,589
41544,3,548
41546,3,601
41660,3,805
41661,1,817
41996,3,678
41999,1,614
42002,3,836
42317,1,614
42318,1,817
42547,2,816
42548,3,613
42661,1,688
42833,3,614
42835,1,647
42836,1,790
42855,1,507
42908,1,684
42909,1,657
42960,3,612
42961,1,624
43045,2,622
43165,1,613
43222,3,552
43227,2,656
43354,1,702
43607,2,824
43627,1,663
43680,3,821
43682,1,613
43744,3,804
43867,3,855
43868,1,792
43968,1,653
43970,3,822
43971,1,653
43972,3,828
44249,2,829
44363,2,344
44414,3,675
44527,1,663
44528,1,647
44529,1,652
44741,2,873
44836,3,802
44840,1,660
44844,3,851
44845,3,659
45080,1,641
45138,1,693
45265,2,816
45330,3,667
45518,3,688
45522,1,818
45523,3,658
45607,1,699
45661,1,820
45779,3,675
45910,1,678
45911,1,643
45956,1,698
45986,2,818
46013,1,666
46014,3,675
46015,3,722
46068,3,771
46124,1,677
46239,1,723
46336,3,710
46450,1,648
46670,3,721
46677,3,850
46679,1,837
46687,1,697
46688,1,805
47149,1,823
47224,2,535
47430,1,804
47434,3,681
47440,3,688
47883,1,519
47885,1,700
47886,3,699
48053,3,686
48334,3,689
48335,2,693
48336,3,832
48338,3,650
48341,1,802
48344,2,709
48704,1,694
48710,1,826
48715,1,709
48992,3,708
48998,3,829
49223,3,827
49332,2,728
49333,2,819
49731,1,712
50023,2,743
50217,3,763
50307,2,744
50366,1,804
50925,3,833
51311,1,808
51988,1,792
52188,3,821
16,2,544
75,2,369
201,1,376
204,1,449
206,3,505
207,3,819
208,1,6
212,3,886
215,1,40
216,3,518
218,1,426
219,1,6
1216,3,457
1217,1,180
1220,2,519
1222,3,457
1223,2,791
1224,3,480
1226,1,522
1227,1,22
1231,3,852
1236,3,8
1237,2,546
1239,3,426
1241,3,7
1243,1,480
1245,1,102
1249,3,8
1250,3,7
1252,2,821
1253,1,102
1255,3,786
1256,1,7
1257,2,398
1258,3,374
1261,1,7
1266,2,779
1268,3,480
1277,3,80
1278,1,7
3253,3,323
3259,3,7
3260,1,7
3268,2,480
3270,1,448
3271,3,836
3272,3,200
3274,1,805
3285,3,7
3287,3,590
4016,3,277
4275,1,21
4280,1,398
4635,3,11
